municipality_id,town_name,batch_id,seed_url_attempted,final_url_fetched,fallback_used,http_status,redirect_count,content_type,page_title,response_text_length,extracted_link_count,candidate_service_link_count,candidate_directory_link_count,contact_rows_extracted,detected_block_signal,detected_js_shell_signal,diagnostic_class,blocked_reason
ct_canterbury,Canterbury,batch_3,http://canterburyct.org/,https://canterburyct.org/,1,403,1,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden,http_forbidden
ct_colchester,Colchester,batch_3,https://www.colchesterct.gov/,https://www.colchesterct.gov/,0,200,0,text/html,colchesterct |,111988,1007,50,48,149,1,1,blocked_or_forbidden,block_signal_detected
ct_salem,Salem,batch_3,https://www.salemct.gov/,https://www.salemct.gov/,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden,http_forbidden
ct_thompson,Thompson,batch_3,https://www.thompsonct.org/,https://www.thompsonct.org/,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden,http_forbidden
